Player,Year,ADP,Fantasy_Round,Position_ADP,Overall_Rank,Positional_Rank,Returned_Value_Overall,Returned_Value_Postition,College,Conference,College_Wins_Final_Szn,Draft_Position,Draft_Round,Team_Drafted_To,Team_Drafted_to_Ws_Prev_Yr,Carries,Yards,TDS
Derrick Henry,2016,91,8,34,170,46,0,0,Alabama,SEC,14,45,2,Tenessee,3,395,2219,28
Melvin Gordon,2015,34,3,15,163,50,0,0,Wisconsin,Big 10,11,15,1,SanDiego/Los Angeles Chargers,4,343,2587,29
Jonathan Taylor,2020,43,4,21,34,6,1,1,Wisconsin,Big 10,10,41,2,Indianapolis,7,320,2003,21
A.J. Dillon,2020,167,14,54,311,82,0,0,Boston College,ACC,6,62,2,Green Bay,13,318,1685,14
David Cobb,2015,146,13,50,337,104,0,0,Minnesota,Big 10,8,138,5,Tenessee,2,314,1626,13
Cameron Artis-Payne,2015,172,15,56,280,84,0,0,Auburn,SEC,8,174,6,Carolina,7,303,1608,13
Alexander Mattison,2019,168,14,56,224,62,0,0,Boise State,Mountain West,10,102,4,Vikings,13,302,1415,17
J.K. Dobbins,2020,83,7,31,94,23,0,1,Ohio State,Big 10,13,55,2,Baltimore,14,301,2003,21
Deuce Vaughn,2023,180,15,50,402,98,0,0,Kansas State,Big 12,10,212,7,Dallas,12,293,1558,9
Rashaad Penny,2018,81,7,31,230,67,0,0,SDSU,Mountain West,10,27,1,Seattle,9,289,2248,23
Ezekiel Elliott,2016,8,1,3,5,2,1,1,Ohio State,Big 10,12,4,1,Dallas,4,289,1821,23
Dalvin Cook,2017,34,3,15,231,72,0,0,FSU,ACC,10,41,2,Minnesota,8,288,1765,19
David Johnson,2015,123,11,45,22,7,1,1,Northern Iowa,Missouri Valley,8,86,3,Arizona,11,287,1553,17
Kerryon Johnson,2018,73,7,28,119,63,0,0,Auburn,SEC,10,43,2,Detroit,5,285,1391,18
Brian Robinson Jr.,2022,150,13,47,155,43,0,1,Alabama,SEC,13,98,4,Washington,7,271,1343,14
Tevin Coleman,2015,76,7,33,247,76,0,0,Indiana,Big 10,4,73,3,Atlanta,6,270,2036,15
Ameer Abdullah,2015,44,4,21,134,43,0,0,Nebraska,Big 10,9,54,2,Detroit,7,264,1611,19
Kenneth Walker III,2022,110,10,38,59,18,1,1,Michigan State,Big 10,11,41,2,Seattle,7,263,1636,18
Kareem Hunt,2017,38,4,33,9,4,1,1,Toledo,Mid-American,9,86,3,Kansas City,12,262,1475,10
Ronald Jones II,2018,107,9,39,371,95,0,0,USC,Pac 12,11,38,2,Tampa Bay,5,261,1550,19
Devin Singletary,2019,105,9,40,115,35,0,1,FAU,USA,5,74,3,Buffalo,6,261,1348,22
Bijan Robinson,2023,8,1,4,37,9,0,0,Texas,Big 12,8,8,1,Atlanta,7,258,1580,18
Devontae Booker,2016,138,12,49,129,33,1,1,Utah,Pac 12,10,136,5,Denver,9,258,1261,11
